"IDHOTEL","CODSEGMENTO","DESCRICAO","ANALITICASINTETIC"
9,"0604","Eventos Permuta","A"
9,"0605","Eventos Uso da Casa","A"
12,"0204","Agência Permuta","A"
12,"0205","Agência Uso da Casa","A"
12,"0305","Operadora Uso da Casa","A"
12,"01","Particular","S"
12,"02","Agência de Viagem","S"
12,"03","Operadora","S"
12,"04","Empresa","S"
12,"0101","Particular","A"
12,"0102","Particular Cortesia","A"
12,"0103","Particular Permuta","A"
12,"0201","Agência Nacional","A"
12,"0202","Agência Internacional","A"
12,"0301","Operadora Nacional","A"
12,"0302","Operadora Internacional","A"
12,"0401","Empresa Nacional","A"
12,"0402","Empresa Internacional","A"
12,"0203","Agência Cortesia","A"
12,"0303","Operadora Cortesia","A"
12,"0403","Empresa Cortesia","A"
12,"0404","Empresa Permuta","A"
12,"05","Corporativo","S"
12,"0501","Corporativo","A"
12,"0405","Empresa Uso da Casa","A"
12,"0304","Operadora Permuta","A"
12,"0104","Particular Uso da Casa","A"
12,"06","Eventos","S"
12,"0601","Eventos Nacional","A"
12,"0602","Eventos Internacional","A"
12,"0603","Eventos Cortesia","A"
12,"0604","Eventos Permuta","A"
12,"0605","Eventos Uso da Casa","A"
12,"07","Grupos","S"
12,"0701","Grupo Nacional","A"
12,"0702","Grupo Internacional","A"
12,"0703","Grupo Cortesia","A"
12,"0704","Grupo Permuta","A"
12,"0705","Grupo Uso da Casa","A"
12,"08","OTAs","S"
12,"0801","OTAs","A"
12,"09","Abracorp","S"
12,"0901","Abracorp","A"
12,"10","Clube de Férias","S"
12,"1001","Clube de Férias","A"
12,"11","USO DA CASA","S"
12,"1101","USO DA CASA","S"
7,"0204","Agência Permuta","A"
7,"0205","Agência Uso da Casa","A"
7,"0305","Operadora Uso da Casa","A"
7,"01","Particular","S"
7,"02","Agência","S"
7,"03","Operadora","S"
7,"04","Empresa","S"
7,"0101","Particular","A"
7,"0102","Particular Cortesia","A"
7,"0103","Particular Permuta","A"
7,"0201","Agência Nacional","A"
7,"0202","Agência Internacional","A"
7,"0301","Operadora Nacional","A"
7,"0302","Operadora Internacional","A"
7,"0401","Empresa Nacional","A"
7,"0402","Empresa Internacional","A"
7,"0203","Agência Cortesia","A"
7,"0303","Operadora Cortesia","A"
7,"0403","Empresa Cortesia","A"
7,"0404","Empresa Permuta","A"
7,"05","Proprietário","S"
7,"0501","Proprietário Flat","A"
7,"0405","Empresa Uso da Casa","A"
7,"0304","Operadora Permuta","A"
7,"0104","Particular Uso da Casa","A"
7,"06","Eventos","S"
7,"0601","Eventos Nacional","A"
7,"0602","Eventos Internacional","A"
7,"0603","Eventos Cortesia","A"
7,"0604","Eventos Permuta","A"
7,"0605","Eventos Uso da Casa","A"
7,"0406","CIA Aerea","A"
11,"0204","Agência Permuta","A"
11,"0205","Agência Uso da Casa","A"
11,"0305","Operadora Uso da Casa","A"
11,"01","Particular","S"
11,"02","Agência de Viagem","S"
11,"03","Operadora","S"
11,"04","Empresa","S"
11,"0101","Particular","A"
11,"0102","Particular Cortesia","A"
11,"0103","Particular Permuta","A"
11,"0201","Agência Nacional","A"
11,"0202","Agência Internacional","A"
11,"0301","Operadora Nacional","A"
11,"0302","Operadora Internacional","A"
11,"0401","Empresa Nacional","A"
11,"0402","Empresa Internacional","A"
11,"0203","Agência Cortesia","A"
11,"0303","Operadora Cortesia","A"
11,"0403","Empresa Cortesia","A"
11,"0404","Empresa Permuta","A"
11,"05","Corporativo","S"
11,"0501","Corporativo","A"
11,"0405","Empresa Uso da Casa","A"
11,"0304","Operadora Permuta","A"
11,"0104","Particular Uso da Casa","A"
11,"06","Eventos","S"
11,"0601","Eventos Nacional","A"
11,"0602","Eventos Internacional","A"
11,"0603","Eventos Cortesia","A"
11,"0604","Eventos Permuta","A"
11,"0605","Eventos Uso da Casa","A"
11,"07","Grupos","S"
11,"0701","Grupo Nacional","A"
11,"0702","Grupo Internacional","A"
11,"0703","Grupo Cortesia","A"
11,"0704","Grupo Permuta","A"
11,"0705","Grupo Uso da Casa","A"
11,"08","OTAs","S"
11,"0801","OTAs","A"
11,"09","Abracorp","S"
11,"0901","Abracorp","A"
11,"10","Clube de Férias","S"
11,"1001","Clube de Férias","A"
11,"11","USO DA CASA","S"
11,"1101","USO DA CASA","S"
