"IDPESSOA","NOME","IDFORCLI"
9,"DRUDS TURISMO",986
9,"MAIS VIAGEM",988
9,"PRIVATE TOUR",991
9,"ACOTUBO INDUSTRIA COMERCIO",995
9,"AG RIO E TURISMO",997
9,"ALVARO AGUIAR E ENGENHERIA E CONSTRUCAO",998
9,"ALBARUS",999
9,"ASSOCIACAO BRASILEIRA DE DISTRIBUIDORAS FORD",1000
9,"ALBATROZ TURISMO",1001
9,"ALCANCE OPERADORA",1002
9,"BAIRRO NOVO PORTO VELHO EMPREENDIMENTOS IMOB.",1004
9,"ALCATEL TELECOMUNICACOES",1005
9,"BERTLING LOGISTICS BRASIL",1006
9,"NAVEGANTES OPERADORA",1008
9,"CONSTRUTORA NOBERTO ODEBRECHT - BOM JESUS DE ITABAPOANA/RJ",1009
9,"AGENCIA ROXY DE TURISMO",1010
9,"EMPRESARIAL TURISMO CORPORATIVO",1012
9,"DAY BY  DAY VIAGENS E TURISMO",1013
9,"ELISAMA BRASIL VIAGENS E TURISMO",1014
9,"EMPRESA DE TRANSPORTE ANDORINHA",1023
9,"ENERGIA SUSTENTAVEL DO BRASIL",1027
9,"AMADEUS VIAGENS E TURISMO",1028
9,"EXCENGE EM ENGEHARIA",1029
9,"AMAPIL TAXI AEREO LTDA.",1030
9,"IND COM ESPUMAS E COLCHOES CUIABA",1031
9,"VITAGRI IND. COMERCIO E SERVICOS LTDA.",1032
9,"INTERLAGO AGENCIA DE TURISMO",1033
9,"LABORATORIO DE NEGOCIO SSJ",1034
9,"VOETUR OPERADORA TURISTICA",1035
9,"LB AGENCIA DE VIAGENS E HOTEIS",1036
9,"LOCCUS DO BRASIL",1037
9,"WAL-MART",1038
9,"MULTI-MED EQUIPAMENTOS CIENTIFICOS",1039
9,"NEXTRANS TRANSPORTES",1040
9,"TEL TELECOMUNICACOES",1041
9,"TVB CAMPINAS",1044
9,"TONY PARKING EMPREENDIMENTOS E SERVIÇOS",1047
9,"NIX TRAVEL AGENCIA DE VIAGENS E TURISMO",1048
9,"ALTERNATIVA TURISMO",1049
9,"ODEBRECHT OLEO E GAS - BOTAFOGO/RJ",1050
9,"TRANSPORTADORA CAMPOS LTDA.",1051
9,"ODEBRECHT SERV. DE ENG. E CONSTR. - CAMPOS DOS GOYTACAZES/RJ",1052
9,"VCL MENDONCA TURISMO",1053
9,"SIND. DOS TRAB. DA IND.DE ENERG. ELETR. CAMPINAS",1054
9,"PERSONALE ACD VIAGENS E TURISMO",1055
9,"SMC VIAGENS, EVENTOS E REPRESENTACOES",1056
9,"SOMA OPERADORA TURISTICA LTDA.",1057
9,"SR. FREITAS AC. E CONSULT. EM DIR. IMOBILIARIO",1058
9,"TABA ESPACO DE VIVENCIA E CONV. ADOLESCENTE",1059
9,"RIBEIRO S/A COMERCIO DE PNEUS",1060
9,"SAMISTUR DO BRASIL AG. DE VIAGENS",1063
9,"WORLD TURISMO E EVENTOS",1064
9,"SELF AIR AGENCIA DE VIAGENS E TURISMO",1065
9,"PREMIUM JET -  MANUTENCAO DE AERONAVES",1066
9,"AEROP OPERADORA TURISTICA LTDA",1067
9,"SEMS IND. E COM. DE PROD. ALIM. LTDA. - EPP",1068
9,"AEROPLAN TURISMO",1069
9,"SIND. DOS FUNC. SISTEMA P. EST. SAO PAULO",1070
9,"AEROTUR AGENCIA DE VIAGENS E TURISMO",1071
9,"ADVOCACIA CELSO BOTELHO MORAES",1072
9,"FLYTOUR - PINHEIRO MACHADO / OSASCO N",1073
9,"AERO EXPRESS TAXI AEREO",1074
9,"RIOTRAVEL TURISMO",1075
9,"SANTAFE IDEIAS E COMUNICACAO",1076
9,"SERVICO DE ENGEHARIA E MEIO AMBIENTE",1077
9,"SINDICATO DOS EMPREGADOS NO COMERCIO DE PVH",1078
9,"SLAVIAN TOURS VIAGENS E TURISMO",1079
9,"SMAR COMERCIAL",1080
9,"SPEED SPORTS MARKETING",1081
9,"STYLO VIAGENS E TURISMO",1082
9,"TECHDAM TECNOLOGIA PARA BARRAGENS",1083
9,"PIRAHY ALIMENTOS LTDA.",1084
9,"TECNOLOGIA E COMERCIO DE CINTAS",1085
9,"PRADO GONCALVES CONSULTORIA IMOBILIARIA LTDA.",1086
9,"RED BULL FUTEBOL BRASIL",1087
9,"TOTUM VIAGENS E TURISMO",1088
9,"FLYTOUR",1089
9,"FLYTOUR - ARACAJU/ 13 DE JULHO",1092
9,"FLYTOUR - ARACAJU/ SHOPPING",1095
9,"FLYTOUR - NOBRETUR",1096
9,"ALFA BRASIL TURISMO",1097
9,"ABN DO BRASIL MADEIRAS",1098
9,"FLYTOUR BUSINESS TRAVEL VIAGENS E TURISMO LTDA",1099
9,"ALFAMA VIAGENS E TURSIMO",1101
9,"FLYTOUR - BELEM",1102
9,"ALFATOUR VIAGENS E TURISMO LTDA",1103
9,"FLYTOUR - BELO HORIZONTE",1104
9,"ABR INDUSTRIA E COMERCIO DE AUTO PECAS",1105
9,"FLYTOUR - BLUMENAU",1106
9,"FLYTOUR - PINHEIRO MACHADO / BOTUCATU N",1107
9,"ABRIL TOUR VIAGENS E TURISMO",1108
9,"ABS CONSULTORIA",1109
9,"ACTE VIAGENS E TURISMO",1110
9,"ACTIVIA VIAGENS E TURISMO",1113
9,"FLYTOUR - CAMPINAS",1114
9,"ALL FLAVORS",1115
9,"FLYTOUR CAXIAS DO SUL",1116
9,"ADELTOUR OPERADORA TURISTICA",1117
9,"ALL TRAVEL AGENCIA DE VIAGENS",1118
9,"FLYTOUR AMERICAN EXPRESS CHAPECO",1119
9,"ALL WIN PROPAGANDA",1120
9,"FLYTOUR - COTIA/ GRANJA VIANA",1121
9,"ADHEMIR FOGASSA ARTES",1124
9,"FLYTOUR - CRICIUMA",1125
9,"QUALLY TRAVEL",1126
9,"FLYTOUR - CURITIBA",1127
9,"FLYTOUR - ERECHIM",1128
9,"FLYTOUR - CONTINENTAL TURISMO",1129
9,"FLYTOUR - FORTALEZA",1130
9,"ALLEBASI VIAGENS E TURISMO",1131
9,"BIB´STUR VIAGENS E TURISMO",1132
9,"ALLIANCE TRAVEL TURISMO",1133
9,"FLYTOUR - FRANCA",1134
9,"ALLOC COSULTORIA DE INFORMATICA",1135
9,"FLYTOUR - FOZ DO IGUACU",1136
9,"ALLTUR VIAGENS E TURISMO",1137
9,"FLYTOUR - AVG BRASIL / GOIÂNIA",1138
9,"ALLWAY TOUCHE",1141
9,"ADINCO PASSAGENS E TURISMO",1142
9,"ALMEIDA MARIN CONSTRUCOES E COMERCIO",1143
9,"FLYTOUR - GUARATINGUETA",1144
9,"FLYTOUR - GUARUJA",1147
9,"ALPARGATAS SANTISTA TEXTIL",1152
9,"FLYTOUR - INDAIATUBA",1153
9,"ADVENTURE TRAVEL",1154
9,"FLYTOUR - SM TURISMO ITAJAI",1155
9,"FLYTOUR - ITU",1156
9,"ADVENTURE WORLD DO BRASIL",1157
9,"FLYTOUR - JAU",1158
9,"PAULI TRAVEL",1159
9,"FLYTOUR - JOAO PESSOA",1160
9,"ALUNAR AGENCIA DE VIAGENS",1161
9,"FLYTOUR AMEX SERVIÇOS DE VIAGENS",1162
9,"ALVIM COELHO KOMEL JR. -  ADVOGADOS ASSOCIADOS",1163
9,"FLYTOUR - FILIAL JOINVILLE",1164
9,"FLYTOUR - LAGES",1165
9,"FLYTOUR / CARIMAN",1166
9,"A.S. AVIONCS SERVICES",1167
9,"FLYTOUR - MANDARIM VIAGENS E TUR",1168
9,"FLYTOUR - SANTA CRUZ DO SUL",1171
9,"FLYTOUR - JPA TURISMO / FILIAL",1172
9,"ABADIA AGENCIA DE TURISMO",1173
9,"BRW MARILIA OP. DE CURSOS E TURISMO LTDA",1175
9,"FLYTOUR / DPR TURISMO LTDA",1176
9,"FLYTOUR MONTENEGRO - DWL",1177
9,"FLYTOUR NOVO HAMBURGO - DWL",1178
9,"ABC TURISMO",1179
9,"FLYTOUR NATAL",1180
9,"FLYTOUR - TRAVEL DESIGNER / NITEROI",1181
9,"FLYTOUR - PASSO FUNDO/RS",1182
9,"FLYTOUR PINHEIRO MACHADO - PIRACIC",1183
9,"FLYTOUR - POCOS DE CALDAS",1184
9,"FLYTOUR - PORTO ALEGRE",1185
9,"FLYTOUR - PORTO ALEGRE",1186
9,"FLYTOUR - RECIFE",1187
9,"FLYTOUR - RIBEIRAO PRETO",1188
9,"ABPL ALTAMIRO BORGES PLANEJAMENTO LOGISTICO",1189
9,"ABRADEE ASSOC DISTR DE ENERGIA ELETRICA",1190
9,"AGTOUR VIAGENS",1191
9,"FLYTOUR BUSINESS TRAVEL VIAGENS E TURISMO LTDA",1192
9,"AGUIA DE MARABA FUTEBOL CLUBE",1193
9,"FLYTOUR - VITORIA",1194
9,"FLYTOUR - ALGAR VIRTUAL",1195
9,"FLYTOUR - UBERABA",1196
9,"FLYTOUR - TAUBATE",1197
9,"AIRBALL VIAGENS E TURISMO",1198
9,"FLYTOUR - GUARULHOS/  SP-TATUAPE/ SP-BERRINI",1148
9,"VERMARI VIAGENS E TURISMO LTDA",1199
9,"ALIATTI TURISMO",1200
9,"FLYTOUR - SAO PAULO/ HIGIENOPOLIS",1201
9,"ABV COMERCIO DE MEDICAMENTOS",1202
9,"ACCOMMODATION LINE",1203
9,"FLYTOUR - PINHEIRO MACHADO SOROCABA",1204
