"IDHOTEL","IDTIPODEBCRED","CENTROCUSTOCREDIT","DESCRICAO","RECPAG","IDGRUPODC","IDPRINCIPAL","PRINCIPALSECUNDAR","GRUPOFIXO","GRUPO","FLGPDVSERVICO","PDVALIMENTO","NOMEGRUPO","IDHOTEL_TIPODEBCRED"
9,602,null,"Taxa ServiÁo A&B","R",6,57,"S","TX","IMPOSTOS E TAXAS","N","N","Taxas",9602
9,842,null,"CafÈ da Manh„","R",4,842,"P","RE","ALIMENTOS E BEBIDAS","N","N","AeB",9842
9,862,null,"THE HUB","R",4,862,"P","RE","ALIMENTOS E BEBIDAS","N","S","AeB",9862
9,922,null,"Transf Aero (-)","R",2,3,"S",null,"HOSPEDAGEM","N","N",null,9922
9,923,null,"Transfer Aero (+)","R",2,3,"S",null,"HOSPEDAGEM","N","N",null,9923
9,924,null,"Breack Buffet (-)","R",2,3,"S",null,"HOSPEDAGEM","N","N",null,9924
9,925,null,"Breack Buffet (+)","R",4,49,"S",null,"ALIMENTOS E BEBIDAS","N","N",null,9925
9,962,null,"USO DA CASA","R",7,962,"P",null,"CREDITOS","N","N",null,9962
9,1003,null,"PAG SEGURO","R",7,1003,"P","CC","CREDITOS","N","N","Cart√µes",91003
9,1082,null,"IMPRESS√O AVULSA","R",8,1082,"P","DV","DIVERSOS","N","N","Diversos",91082
